,Name,State,Comments
0,Betty Lou's Seafood and Grill,CA,
5,E Tutto Qua,CA,
16,Malbec,CA,
19,Mimi's Cafe,CA,
23,The Lion's Share,CA,
26,The Misfit Restaurant & Bar,CA,
32,Hodel's Country Dining,CA,
33,Magic Castle,CA,
36,The Attic,CA,
41,The Cheesecake Factory,CA,
43,Cheeseboard Pizza,CA,
44,Cortina's Italian Market & Pizzeria,CA,
46,Yard House,CA,
48,Jeanne D'Arc Restaurant,CA,
53,Mission Galleria,CA,
54,Bill's Cafe,CA,
56,Eddie V's Wildfish,CA,
60,Longboard Restaurant & Pub,CA,
72,Red Apple Cafe,CA,
74,Mulvaney's Building & Loan,CA,
77,Rutabegorz,CA,
82,Ajanta Distinctive Indian Cuisine,CA,
83,Black Angus Steakhouse,CA,
84,Off Vine,CA,
93,Bill's Pizza,CA,
99,Foxy's Restaurant,CA,
101,Heroes Restaurant and Brewery,CA,
102,La Playita,CA,
104,Din Tai Fung,CA,
109,Jin Sushi,CA,
114,Utopia,CA,
122,Duke's Huntington Beach,CA,
124,True Food Kitchen,CA,
131,Frank Fat's Restaurant,CA,
133,Roma D Italia,CA,
135,Stella Barra Pizzeria,CA,
136,Ambrogio15,CA,
138,Milt's Coffee Shop,CA,
139,Maccheroni Republic,CA,
150,Bobs at the Marina,CA,
155,King's Fish House,CA,
156,Ola Mexican Kitchen,CA,
157,MIZU Sushi Bar & Grill,CA,
162,Simmzy's Pub,CA,
178,Forge Pizza Oakland,CA,
179,Langer's,CA,
181,Wool Growers,CA,
182,Antonello Ristorante,CA,
201,President Thai Restaurant,CA,
208,Ooka Japanese Restaurant,CA,
212,La Quinta Cliffhouse Grill and Bar,CA,
213,Il Fornaio,CA,
216,Brent's Delicatessen & Restaurant,CA,
227,Localis,CA,
228,Las Campanas,CA,
236,Club 33,CA,
238,Yard House,CA,
240,Fred's Mexican Cafe,CA,
244,A Cote Restaurant,CA,
250,Brimstone,CA,
252,Sweet Maple,CA,
258,Catal Restaurant,CA,
261,Rascal's Teriyaki Grill,CA,
262,Market Broiler,CA,
266,Hop Saint Brewing Company,CA,
271,Bacon & Butter,CA,
276,Mua,CA,
277,HiroNori Craft Ramen,CA,
283,Cholita Linda,CA,
286,Black Angus Steakhouse - Torrance,CA,
292,Cafe Santorini,CA,
293,Nick's on 2nd,CA,
294,The Firehouse,CA,
296,Watertable,CA,
304,Tony's On the Pier,CA,
306,Iyasare,CA,
311,Ruby's Diner,CA,
314,La Brea Bakery Cafe,CA,
315,Piccolo Forno,CA,
318,Pizza Antica,CA,
319,Providence,CA,
322,Si Bon,CA,
337,Hollywood Cafe,CA,
339,L'ardoise Bistro,CA,
354,Sal's Mexican Restaurant,CA,
360,Schooner or Later,CA,
368,Meze Greek Fusion,CA,
377,Auld Dubliner,CA,
379,Blue Plate Oysterette,CA,
382,Max's Bistro & Bar,CA,
383,Napa Rose,CA,
385,The Fish Market - San Jose,CA,
390,Ruth's Chris Steak House,CA,
391,The Capital Grille,CA,
400,Black Bear Diner,CA,
401,Trattoria Corso,CA,
406,nFuse Restaurant,CA,
407,The Mission,CA,
414,The Capital Grille,CA,
419,Mi Piace,CA,
438,Parkers' Lighthouse,CA,
439,Asena Restaurant,CA,
443,Nob Hill Cafe,CA,
444,Bann Thai,CA,
447,Tres Hermanas Mexican Restaurant,CA,
448,Palm Greens Cafe,CA,
450,Backstreet Restaurant,CA,
456,China Palace,CA,
457,Great China,CA,
468,Purple Room Supper Club,CA,
475,Scott's Seafood Restaurant,CA,
478,Umami Burger,CA,
479,Piero's PizzaVino,CA,
484,Burma Superstar,CA,
488,Belotti Ristorante E Bottega,CA,
496,Henry's Ocean View Dining,CA,
504,BO-beau kitchen + roof tap,CA,
510,Sabroso! Mexican Grill,CA,
518,Midgley's Public House,CA,
519,P.F. Chang's,CA,
525,Harry's Coffee Shop,CA,
528,The Cove on Harbor,CA,
529,CUCINA urbana,CA,
537,Copleys On Palm Canyon,CA,
550,Bangkok West Thai,CA,
552,Parma Cucina Italiana,CA,
555,Angelini Osteria,CA,
564,Outback Steakhouse,CA,
567,Lucille's Smokehouse BBQ,CA,
569,Michael's on Naples,CA,
570,Smoking Pig BBQ Company,CA,
575,Firehouse No.1,CA,
580,Raffi's Place Restaurant,CA,
581,Yosemite Ranch,CA,
587,Sandys Beach Shack,CA,
595,Tony's Burgers,CA,
598,Nuestro Mexico Restaurant,CA,
600,Vegetarian House,CA,
610,Woolworth Diner,CA,
616,Elbow Room,CA,
621,Lazy Dog Restaurant & Bar,CA,
622,Genwa Korean BBQ,CA,
624,ButtercuP,CA,
625,Creme De La Crepe,CA,
629,Reunion Kitchen + Drink,CA,
633,Marri's Pizza & Italian,CA,
635,BJ's Restaurant & Brewhouse,CA,
643,Mona Lisa Cucina,CA,
654,Maggiano's Little Italy,CA,
663,Zachary's Chicago Pizza,CA,
665,JT Schmid's Restaurant & Brewery,CA,
