,Name,Street_Address,State,City,Zip_Code,Type,Reviews,No_of_Reviews,Comments,Price_Range
0,Coach House Diner,55 State Rt 4,NJ,Hackensack,07601-6337," Diner, American, Vegetarian Friendly",4.0,84,"Both times we were there very late, after 11 PM.  At that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  Not so here - food was uniformly very good and the service quite good.  There weren't many people but it...More",Medium
1,Table Talk Diner,2521 South Rd Ste C,NY,Poughkeepsie,12601-5476," American, Diner, Vegetarian Friendly",4.0,256,"Waitress was very friendly but a little pricey for a diner but the food was delicious 
The menu had a wide variety of foods to choose from but any choice would have been a good one",Medium
2,Sixty Vines,3701 Dallas Pkwy,TX,Plano,75093-7777," American, Wine Bar, Vegetarian Friendly",4.5,235,"Not sure why I went there for the second time. Will not go again. Not because it was terrible but because it is just average.  
The place needs a food clean .... our menus were filthy...the table was filthy 
It is impossible to have a...More",Medium
3,The Clam Bar,3914 Brewerton Rd,NY,Syracuse,13212," American, Bar, Seafood",4.0,285,Doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. Waitress was amazing and very helpful with the very large variety that they offer. My wife and I were very satisfied...More,Medium
4,Black Angus Steakhouse - Federal Way,2400 S 320th St,WA,Federal Way,98003-5465," American, Steakhouse, Bar",4.0,220,This is an easy any time place to have dinner!  From week night to a special occasion.  The food is reasonably priced and always delicious!,Medium
5,Ziziki's,11663 Preston Rd,TX,Dallas,75230-2704," Mediterranean, Greek, Healthy",4.5,89,"My husband and I went to Greece last fall and fell in love with the beauty and the food so while on a  Dallas business trip, we came across Ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...More",Medium
6,Vince's Italian Restaurant & Pizzeria,2815 NE Sunset Blvd,WA,Renton,98056-3105," Italian, Pizza, Vegetarian Friendly",4.0,90,I love Vince's pizza and I was in the neighborhood after a meeting. I had a small pizza and salad.  Both were delicious and as I would expect. The service was friendly and attentive. The delivery was as quick as one can expect for a...More,Medium
7,John Thomas Steakhouse,1152 Danby Rd,NY,Ithaca,14850-8927," American, Steakhouse, Gluten Free Options",4.0,258,"The ambience, food and service were all excellent. With a student at Cornell we look forward to more dinners there!",Expensive
8,ZaZa's Cucina,622 Cascadilla St,NY,Ithaca,14850-4049," Italian, Vegetarian Friendly, Gluten Free Options",4.0,271,"Nice big dining area.  Holds many people, so never feels crowded.  Food and cocktails are really good.",Medium
9,Dulin's Cafe,1929 Main St,WA,Vancouver,98660-2608," Cafe, American, Vegetarian Friendly",4.5,87,This is the place if you're into the combo of excellent and sincerely unpretentious.  I'm not usually a breakfast lover - but I'll be back here to try their corned beef on potatoes and a few other treats.,Medium
